TIME,CH2,,,Model,MSO4054
-1.91E+00,1.52,,,,
-1.91E+00,1.52,,,,
-1.91E+00,1.52,,,,
-1.91E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.44,,,,
-1.90E+00,1.44,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.6,,,,
-1.90E+00,1.36,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.36,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.44,,,,
-1.90E+00,1.44,,,,
-1.90E+00,1.6,,,,
-1.90E+00,1.6,,,,
-1.90E+00,1.44,,,,
-1.90E+00,1.36,,,,
-1.90E+00,1.6,,,,
-1.90E+00,1.76,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.52,,,,
-1.90E+00,1.6,,,,
-1.90E+00,1.6,,,,
-1.89E+00,1.6,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.6,,,,
-1.89E+00,1.76,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.36,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.28,,,,
-1.89E+00,1.6,,,,
-1.89E+00,1.68,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.36,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.68,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.44,,,,
-1.89E+00,1.52,,,,
-1.89E+00,1.6,,,,
-1.88E+00,1.92,,,,
-1.88E+00,1.44,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.68,,,,
-1.88E+00,1.68,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.6,,,,
-1.88E+00,1.68,,,,
-1.88E+00,1.44,,,,
-1.88E+00,1.44,,,,
-1.88E+00,1.44,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.6,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.36,,,,
-1.88E+00,1.44,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.36,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.52,,,,
-1.88E+00,1.36,,,,
-1.88E+00,1.44,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.6,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.6,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.6,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.6,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.68,,,,
-1.87E+00,1.52,,,,
-1.87E+00,1.44,,,,
-1.87E+00,1.36,,,,
-1.87E+00,1.68,,,,
-1.87E+00,1.6,,,,
-1.87E+00,1.36,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.36,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.44,,,,
-1.86E+00,1.44,,,,
-1.86E+00,1.44,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.44,,,,
-1.86E+00,1.44,,,,
-1.86E+00,1.52,,,,
-1.86E+00,1.6,,,,
-1.86E+00,1.52,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.36,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.52,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.44,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.52,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.52,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.6,,,,
-1.85E+00,1.44,,,,
